1778881864.4789,1401,1475,0.0079,7.21,914.76
1778881864.4869,1388,1467,0.0080,15.26,1903.30
1778881864.4950,1374,1458,0.0080,16.64,2071.37
1778881864.5030,1365,1454,0.0080,9.85,1229.11
1778881864.5110,1358,1454,0.0080,7.00,873.06
1778881864.5349,1354,1454,0.0240,4.00,166.91
1778881864.9909,1351,1454,0.0160,2.00,125.24
1778882202.5352,1260,1473,0.0078,26.42,3405.00
1778882202.5432,1338,1443,0.0080,83.57,10442.69
1778882202.5512,1462,1398,0.0080,131.91,16427.14
1778882202.5592,1585,1353,0.0080,130.97,16372.85
1778882202.5674,1692,1321,0.0082,111.68,13674.41
1778882202.5752,1758,1299,0.0078,69.57,8872.21
1778882202.5832,1795,1286,0.0080,39.22,4928.67
1778882202.5912,1812,1280,0.0080,18.03,2240.68
1778882203.2792,1821,1280,0.6880,9.00,13.08
1778882203.2872,1828,1280,0.0080,7.00,879.41
1778882203.2952,1832,1280,0.0080,4.00,500.27
1778882203.3032,1838,1281,0.0081,6.08,752.68
1778882203.3112,1845,1283,0.0079,7.28,916.20
1778882203.3195,1854,1288,0.0083,10.30,1245.47
1778882203.3272,1868,1293,0.0077,14.87,1923.28
1778882203.3352,1886,1302,0.0080,20.12,2512.91
1778882203.3433,1903,1308,0.0081,18.03,2231.02
1778882203.3512,1921,1317,0.0080,20.12,2529.33
1778882203.3592,1938,1326,0.0080,19.24,2401.66
1778882203.3672,1952,1334,0.0080,16.12,2019.86
1778882203.3752,1966,1340,0.0080,15.23,1911.95
1778882203.3832,1979,1345,0.0080,13.93,1746.43
1778882203.3912,1993,1350,0.0080,14.87,1847.05
1778882203.3993,2007,1356,0.0080,15.23,1893.47
1778882203.4072,2024,1362,0.0079,18.03,2283.79
1778882203.4152,2038,1370,0.0080,16.12,2007.39
1778882203.4232,2059,1379,0.0081,22.85,2836.68
1778882203.4312,2085,1389,0.0079,27.86,3508.60
1778882203.4392,2118,1402,0.0080,35.47,4419.89
1778882203.4472,2154,1415,0.0080,38.28,4782.34
1778882203.4553,2197,1433,0.0080,46.62,5797.29
1778882203.4632,2234,1446,0.0079,39.22,4934.59
1778882203.4712,2283,1469,0.0080,54.13,6785.69
1778882203.4792,2350,1491,0.0080,70.52,8794.08
1778882203.4872,2413,1504,0.0080,64.33,8058.07
1778882203.4952,2449,1511,0.0080,36.67,4583.52
1778882203.5032,2486,1517,0.0080,37.48,4662.13
1778882203.5112,2514,1520,0.0079,28.16,3542.99
1778882203.5192,2531,1523,0.0080,17.26,2156.96
1778882203.5672,2537,1523,0.0480,6.00,124.90
1778882203.5752,2539,1522,0.0080,2.24,281.20
